Countries Name,Countries National Animals
 Afghanistan,Snow Leopard
 Albania,The Golden Eagle
 Algeria,Fennec Fox
 American Samoa,Fruit bats
 Andorra,Cattle
 Angola,Sable antelopes
 Anguilla,
 Antigua And Barbuda,Fallow deer
 Argentina,Rufous Hornero
 Armenia,Eagle
 Aruba,Prikichi
 Australia,Red Kangaroo
 Austria,Austria
 Azerbaijan,Karabakh horses
 Bahamas,Flamingo
 Bahrain,Arabian oryx
 Bangladesh,Royal Bengal Tiger
 Barbados,Mahi-mahi
 Belarus,European Bison
 Belgium,Lion
 Belize,Tapir
 Benin,African Leopard
 Bermuda,Bermuda petrel (Pterodroma cahow)
 Bhutan,Takin
 Bolivia,Andean condor
 Bosnia And Herzegovina,Tornjak
 Botswana,Zebra
 Bouvet Island,
 Brazil,Jaguar
 British Indian Ocean Territory,Striated Heron
 Brunei Darussalam,White-bellied Sea Eagle
 Bulgaria,Lion
 Burkina Faso,African Horse
 Burundi,Hyena
 Cabo Verde,Manatees
 Cambodia,Kouprey
 Cameroon,Lion
 Canada,Beaver
 Cayman,
 Central African Republic,African Elephant
 Chad,Goat
 Chile,Andean condor
 China,giant panda
 Christmas Island,
 Cocos Islands,
 Colombia,Andean condors
 Comoros,Mongoose Lemur
 Cook Islands,Pacific fruit bats
 Costa Rica,White-tailed deer
 Croatia,Marten
 Cuba,Cuban Trogon
 Curaçao,Flamingo
 Cyprus,Cypriot Mouflon
 Czechia,Double-tailed lion
 Côte D'Ivoire,Elephants
 Democratic Republic Of The Congo,Okapi
 Denmark,Mute Swan
 Djibouti,Elk
 Dominica,Sisserou parrot
 Dominican Republic,Palm Chat
 Ecuador,Andean condor
 Egypt,Steppe eagle
 El Salvador,Motmot
 Equatorial Guinea,Giraffe
 Eritrea,Arabian camel
 Estonia,Grey Wolf
 Eswatini,Eswatini
 Ethiopia,Mighty lion
 Falkland Islands,
 Faroe Islands,
 Fiji,Fiji banded iguana
 Finland,Brown Bear
 France,Gallic Rooster
 French Guiana,brocket deer
 French Polynesia,
 French Southern Territories,
 Gabon,Black Panther
 Gambia,Spotted hyena
 Georgia,White-Tailed Deer
 Germany,Black Eagle
 Ghana,Tawny Eagle
 Gibraltar,
 Greece,Dolphin
 Greenland,
 Grenada,Grenada Dove
 Guadeloupe,
 Guam,
 Guatemala,Quetzal
 Guernsey,Donkey
 Guinea,African Elephant
 Guinea-Bissau,Not Declared
 Guyana,Jaguar
 Himi,
 Haiti,Hispaniolan Trogons
 Holy See (Vatican City State),-
 Honduras,White-tailed Deer
 Hong Kong,
 Hungary,Turul
 Iceland,Gyrfalcon
 India,Benaal tiger
 Indonesia,Komodo dragon
 Iran,Asiatic lion
 Iraq,Goat
 Ireland,Irish hare
 Isle Of Man,
 Israel,Israeli gazelle
 Italy,Wolf
 Jamaica,red-billed streamertail
 Japan,Green Pheasant
 Jersey,
 Jordan,Arabian oryx
 Kazakhstan,Golden eagle
 Kenya,Lions
 Kiribati,Frigate bird
 Kuwait,Arabian camel
 Kyrgyzstan,markhor goat
 Laos,Indian elephant
 Latvia,White wagtail
 Lebanon,striped hyena
 Lesotho,black rhino
 Liberia,lion
 Libya,Arabian Eagle
 Liechtenstein,kestrel
 Lithuania,white stork
 Luxembourg,lion
 Macao,
 Madagascar,ring-tailed lemur
 Malawi,Thomson's gazelle
 Malaysia,The Malayan tiger
 Maldives,yellowfin tuna
 Mali,Vulture
 Malta,Pharaoh Hound
 Marshall Islands,Black-footed Cat
 Martinique,
 Mauritania,Mauritania
 Mauritius,Dodo
 Mayotte,
 Mexico,eagle
 Micronesia,Chuuk Flying Fox
 Moldova,Aurochs
 Monaco,hedgehog
 Mongolia,Przewalski Horse
 Montenegro,Double-headed eagles
 Montserrat,
 Morocco,Barbary lions
 Mozambique,African elephant
 Myanmar,green peafowl
 Namibia,Oryx
 Nauru,Great Frigatebird
 Nepal,Cow
 Netherlands,Asiatic Lion
 New Caledonia,
 New Zealand,kiwi
 Nicaragua,Guardabarranco
 Niger,Dama gazelle
 Nigeria,Eagle
 Niue,Niue Blue Nacaduba niueensis (butterfly)
 Norfolk Island,The Green Parrot
 North Korea,winged horse Chollima
 North Macedonia,Lion
 Northern Mariana Islands,Mariana fruit dove
 Norway,Moose
 Oman,Arabian oryx
 Pakistan,markhor
 Palau,Palau fruit dove
 Palestine,Gazelle
 Panama,Panamanian golden frog
 Papua New Guinea,New Guinea
 Paraguay,pampas fox
 Peru,vicuñas
 Philippines,Carabao
 Pitcairn Islands,bird
 Poland,European Bison
 Portugal,Iberian wolf
 Puerto Rico,
 Qatar,Arabian oryx
 Republic Of The Congo,Okapi
 Romania,Eurasian lynx
 Russian Federation,Bear
 Rwanda,Leopard
 Réunion,
 Saint Barthélemy,
" Saint Helena, Ascension And Tristan Da Cunha",
 Saint Kitts And Nevis,brown pelican
 Saint Lucia,Kaimite fruit
 Saint Martin,pelican
 Saint Pierre And Miquelon,Grey Dolphin
 Saint Vincent And The Grenadines,Saint Vincent parrot
 Samoa,whale
 San Marino,whale
 Sao Tome And Principe,Sao Tome Shrew
 Saudi Arabia,Camel
 Senegal,Lions
 Serbia,Gray Wolf
 Seychelles,flying foxes
 Sierra Leone,Chimpanzee
 Singapore,Asiatic Lion
 Sint Eustatius,
 Sint Maarten (Dutch Part),
 Slovakia,Czech lion
 Slovenia,Carniolan honey bee
 Solomon Islands,Hawksbill turtle
 Somalia,Leopard
 South Africa,springbok
 South Georgia And The South Sandwich Islands,
 South Korea,Amur Tiger
 South Sudan,African fish eagle
 Spain,bull
 Sri Lanka,Lions
 Sudan,Sudan Cheetah
 Suriname,Jaguarundi
 Svalbard And Jan Mayen,
 Sweden,Moose
 Switzerland,St. Bernhard dog
 Syrian Arab Republic,Syrian Brown Bear
" Taiwan, Province Of China",Formosan black bear
 Tajikistan,Ovis ammon polii
" Tanzania, United Republic Of",Masai giraffe
 Thailand,elephants
 Timor-Leste,Crocodile
 Togo,Lion
 Tokelau,
 Tonga,Flying fox
 Trinidad And Tobago,scarlet ibis
 Tunisia,Arabian Camel
 Turkey,Gray wolf
 Turkmenistan,Alabay dog
 Turks And Caicos Islands,
 Tuvalu,Not selected by Tavalu
 Uganda,Uganda Kob
 Ukraine,Nightingal
 United Arab Emirates,Arabian oryx
 United Kingdom,Lion
 United States,Bison
 United States Minor Outlying Islands,
 Uruguay,southern lapwing
 Uzbekistan,Turkestan Sand Cat
 Vanuatu,The Iguana
 Venezuela,Venezuelan troupial
 Vietnam,Water Buffalo
" Virgin Islands, British",mourning dove
" Virgin Islands, U.S.",Bats
 Wallis And Futuna,
 Western Sahara,addax
 Yemen,Arabian Leopard
 Zambia,African Fish Eagle
 Zimbabwe,Sable Antelope
 Åland Islands,White-tailed eagle
